name,id,episodes,status,aired,studio,source,rating,score,finished airing,year,season
Futakoi Alternative,126,13,Finished Airing,"Apr 7, 2005",Studio Flag,Original,PG-13 - Teens 13 or older,6.92,"Jun 30, 2005",2005,Spring
Gate Keepers,127,24,Finished Airing,"Apr 3, 2000",Gonzo,Game,PG-13 - Teens 13 or older,6.97,"Sep 18, 2000",2000,Spring
Gate Keepers 21,128,6,Finished Airing,"Apr 24, 2002",Gonzo,Game,PG-13 - Teens 13 or older,6.79,"Jan 8, 2003",2002,Spring
Gensoumaden Saiyuuki (Saiyuki),129,50,Finished Airing,"Apr 4, 2000",Studio Pierrot,Manga,R - 17+ (violence & profanity),7.59,"Mar 27, 2001",2000,Spring
Saiyuuki Reload (Saiyuki Reload),130,25,Finished Airing,"Oct 2, 2003",Studio Pierrot,Manga,PG-13 - Teens 13 or older,7.41,"Mar 25, 2004",2003,Fall
Saiyuuki Reload Gunlock (Saiyuki Gunlock),131,26,Finished Airing,"Apr 2, 2004",Studio Pierrot,Manga,PG-13 - Teens 13 or older,7.42,"Sep 24, 2004",2004,Spring
GetBackers,132,49,Finished Airing,"Oct 5, 2002",Studio Deen,Manga,PG-13 - Teens 13 or older,7.62,"Sep 20, 2003",2002,Fall
Green Green,133,12,Finished Airing,"Jul 12, 2003",Studio Matrix,Visual novel,R+ - Mild Nudity,6.23,"Sep 27, 2003",2003,Summer
Gunslinger Girl,134,13,Finished Airing,"Oct 9, 2003",Madhouse,Manga,R - 17+ (violence & profanity),7.43,"Feb 19, 2004",2003,Fall
Hikaru no Go,135,75,Finished Airing,"Oct 10, 2001",Studio Pierrot,Manga,PG-13 - Teens 13 or older,8.12,"Mar 26, 2003",2001,Fall
Hunter x Hunter,136,62,Finished Airing,"Oct 16, 1999",Nippon Animation,Manga,PG-13 - Teens 13 or older,8.43,"Mar 31, 2001",1999,Fall
Hunter x Hunter: Original Video Animation,137,8,Finished Airing,"Jan 17, 2002",Nippon Animation,Manga,PG-13 - Teens 13 or older,8.34,"Apr 17, 2002",2002,Winter
Hunter x Hunter: Greed Island,138,8,Finished Airing,"Feb 5, 2003",Nippon Animation,Manga,PG-13 - Teens 13 or older,8.22,"Apr 16, 2003",2003,Winter
Hunter x Hunter: Greed Island Final,139,14,Finished Airing,"Mar 3, 2004",Nippon Animation,Manga,PG-13 - Teens 13 or older,8.29,"Aug 18, 2004",2004,Winter
Jinki:Extend (Jinki: Extend),141,12,Finished Airing,"Jan 6, 2005",feel.,Manga,R - 17+ (violence & profanity),6.16,"Mar 24, 2005",2005,Winter
Kamikaze Kaitou Jeanne,142,44,Finished Airing,"Feb 13, 1999",Toei Animation,Manga,PG-13 - Teens 13 or older,7.45,"Jan 29, 2000",1999,Winter
Kannazuki no Miko (Destiny of the Shrine Maiden),143,12,Finished Airing,"Oct 2, 2004",TNK,Manga,PG-13 - Teens 13 or older,6.88,"Dec 18, 2004",2004,Fall
Kanon,144,13,Finished Airing,"Jan 31, 2002",Toei Animation,Visual novel,G - All Ages,7.12,"Mar 28, 2002",2002,Winter
Kareshi Kanojo no Jijou (His and Her Circumstances),145,26,Finished Airing,"Oct 2, 1998",J.C.Staff,Manga,PG-13 - Teens 13 or older,7.61,"Mar 26, 1999",1998,Fall
Kono Minikuku mo Utsukushii Sekai (This Ugly Yet Beautiful World),146,12,Finished Airing,"Apr 2, 2004",Shaft,Original,R+ - Mild Nudity,6.77,"Jun 18, 2004",2004,Spring
Kimi ga Nozomu Eien (Rumbling Hearts),147,14,Finished Airing,"Oct 5, 2003",Studio Fantasia,Visual novel,R+ - Mild Nudity,7.25,"Jan 4, 2004",2003,Fall
Kita e.: Diamond Dust Drops (Diamond Daydreams),148,12,Finished Airing,"Jan 20, 2004",Studio Deen,Visual novel,PG-13 - Teens 13 or older,6.63,"Apr 5, 2004",2004,Winter
Loveless,149,12,Finished Airing,"Apr 7, 2005",J.C.Staff,Manga,PG-13 - Teens 13 or older,6.89,"Jun 30, 2005",2005,Spring
Blood+,150,50,Finished Airing,"Oct 8, 2005",Production I.G,Original,R - 17+ (violence & profanity),7.67,"Sep 23, 2006",2005,Fall
Re: Cutey Honey,151,3,Finished Airing,"Jul 24, 2004",Toei Animation,Manga,R+ - Mild Nudity,7.11,"Sep 25, 2004",2004,Summer
Solty Rei,152,24,Finished Airing,"Oct 7, 2005",Gonzo,Original,R - 17+ (violence & profanity),7.29,"Mar 31, 2006",2005,Fall
Juuni Kokuki (The Twelve Kingdoms),153,45,Finished Airing,"Apr 9, 2002",Studio Pierrot,Novel,PG-13 - Teens 13 or older,8.07,"Aug 30, 2003",2002,Spring
Shaman King,154,64,Finished Airing,"Jul 4, 2001",Xebec,Manga,PG-13 - Teens 13 or older,7.78,"Sep 25, 2002",2001,Summer
X/1999 (X - The Movie),155,1,Finished Airing,"Aug 3, 1996",Madhouse,Manga,R - 17+ (violence & profanity),6.59,,1996,Summer
X,156,24,Finished Airing,"Oct 3, 2001",Madhouse,Manga,R+ - Mild Nudity,7.44,"Mar 27, 2002",2001,Fall
Mahou Sensei Negima! (Negima!),157,26,Finished Airing,"Jan 6, 2005",Xebec,Manga,PG-13 - Teens 13 or older,6.99,"Jun 30, 2005",2005,Winter
Maria-sama ga Miteru (Maria Watches Over Us),158,13,Finished Airing,"Jan 8, 2004",Studio Deen,Light novel,PG-13 - Teens 13 or older,7.36,"Apr 1, 2004",2004,Winter
Boukyaku no Senritsu (The Melody of Oblivion),159,24,Finished Airing,"Apr 7, 2004",J.C.Staff,Manga,PG-13 - Teens 13 or older,6.35,"Sep 22, 2004",2004,Spring
"Ima, Soko ni Iru Boku (Now and Then, Here and There)",160,13,Finished Airing,"Oct 14, 1999",AIC,Original,R - 17+ (violence & profanity),7.67,"Jan 20, 2000",1999,Fall
Peace Maker Kurogane,161,24,Finished Airing,"Oct 8, 2003",Gonzo,Manga,R - 17+ (violence & profanity),7.34,"Mar 24, 2004",2003,Fall
Pita Ten (Pita-Ten),162,26,Finished Airing,"Apr 7, 2002",Madhouse,Manga,G - All Ages,6.95,"Sep 29, 2002",2002,Spring
Power Stone,163,26,Finished Airing,"Apr 3, 1999",Studio Pierrot,Game,PG - Children,6.47,"Sep 25, 1999",1999,Spring
Mononoke Hime (Princess Mononoke),164,1,Finished Airing,"Jul 12, 1997",Studio Ghibli,Original,PG-13 - Teens 13 or older,8.73,,1997,Summer
RahXephon,165,26,Finished Airing,"Jan 21, 2002",Bones,Original,PG-13 - Teens 13 or older,7.43,"Sep 11, 2002",2002,Winter
Samurai 7,166,26,Finished Airing,"Jun 12, 2004",Gonzo,Other,PG-13 - Teens 13 or older,7.49,"Dec 25, 2004",2004,Spring
Scrapped Princess,167,24,Finished Airing,"Apr 8, 2003",Bones,Light novel,PG-13 - Teens 13 or older,7.42,"Oct 7, 2003",2003,Spring
s.CRY.ed (s-CRY-ed),168,26,Finished Airing,"Jul 4, 2001",Sunrise,Original,PG-13 - Teens 13 or older,7.38,"Dec 26, 2001",2001,Summer
Shingetsutan Tsukihime (Lunar Legend Tsukihime),169,12,Finished Airing,"Oct 10, 2003",J.C.Staff,Visual novel,R - 17+ (violence & profanity),6.93,"Dec 26, 2003",2003,Fall
Slam Dunk,170,101,Finished Airing,"Oct 16, 1993",Toei Animation,Manga,PG-13 - Teens 13 or older,8.53,"Mar 23, 1996",1993,Fall
Strange Dawn,171,13,Finished Airing,"Jul 11, 2000",Hal Film Maker,Original,PG - Children,6.38,"Sep 26, 2000",2000,Summer
Tactics,173,25,Finished Airing,"Oct 6, 2004",Studio Deen,Manga,PG-13 - Teens 13 or older,7.23,"Mar 30, 2005",2004,Fall
Tenjou Tenge (Tenjho Tenge),174,24,Finished Airing,"Apr 2, 2004",Madhouse,Manga,R - 17+ (violence & profanity),6.95,"Sep 17, 2004",2004,Spring
Tokyo Underground,175,26,Finished Airing,"Apr 2, 2002",Studio Pierrot,Manga,PG-13 - Teens 13 or older,6.64,"Sep 24, 2002",2002,Spring
Triangle Heart: Sweet Songs Forever,176,4,Finished Airing,"Jul 24, 2003",Seven Arcs,Visual novel,PG-13 - Teens 13 or older,6.2,"Dec 26, 2003",2003,Summer
Tsubasa Chronicle (Tsubasa RESERVoir CHRoNiCLE),177,26,Finished Airing,"Apr 9, 2005",Bee Train,Manga,PG-13 - Teens 13 or older,7.56,"Oct 15, 2005",2005,Spring
Ultra Maniac (Ultramaniac - Magical Girl),178,26,Finished Airing,"May 20, 2003",Production Reed,Manga,G - All Ages,7.19,"Nov 11, 2003",2003,Spring
Ultra Maniac OVA,179,1,Finished Airing,"Aug 6, 2002",Production Reed,Unknown,G - All Ages,6.69,,2002,Summer
Vandread,180,13,Finished Airing,"Oct 3, 2000",Gonzo,Original,PG-13 - Teens 13 or older,7.22,"Dec 19, 2000",2000,Fall
Vandread: The Second Stage,181,13,Finished Airing,"Oct 5, 2001",Gonzo,Original,PG-13 - Teens 13 or older,7.44,"Jan 18, 2002",2001,Fall
Tenkuu no Escaflowne (The Vision of Escaflowne),182,26,Finished Airing,"Apr 2, 1996",Sunrise,Original,PG-13 - Teens 13 or older,7.7,"Sep 24, 1996",1996,Spring
Whistle!,183,39,Finished Airing,"May 6, 2002",Studio Comet,Manga,G - All Ages,7.4,"Feb 3, 2003",2002,Spring
Xenosaga The Animation,184,12,Finished Airing,"Jan 6, 2005",Toei Animation,Game,PG-13 - Teens 13 or older,6.37,"Mar 24, 2005",2005,Winter
Initial D First Stage,185,26,Finished Airing,"Apr 19, 1998",Studio Comet,Manga,PG-13 - Teens 13 or older,8.28,"Dec 6, 1998",1998,Spring
Initial D Second Stage,186,13,Finished Airing,"Oct 15, 1999",Pastel,Manga,PG-13 - Teens 13 or older,8.13,"Jan 21, 2000",1999,Fall
Initial D Third Stage,187,1,Finished Airing,"Jan 13, 2001",Studio Deen,Manga,PG-13 - Teens 13 or older,7.9,,2001,Winter
Gosenzo San'e (Masquerade),188,4,Finished Airing,"Sep 25, 1998",,Original,Rx - Hentai,6.13,"Mar 25, 1999",1998,Summer
